Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax
1,1995,12,66,51,21,28.1,41
2,1995,1,55,34,11,20.8,36.1
3,1995,19,67,43,29,32.5,45.1
4,1995,20,68,49,31,38.3,53.8
5,1995,38,89,59,49,49.1,65.3
6,1995,53,95,73,61,60.2,77
7,1995,59,100,75,67,67.1,84.6
8,1995,55,96,72,66,64.1,81.5
9,1995,46,89,71,59,55.1,71.1
10,1995,38,83,60,50,50.3,66.4
11,1995,23,65,48,35,35.3,48.4
12,1995,17,50,37,26,25.6,37.7
1,1996,3,60,38,19,22.7,37.5
2,1996,4,58,42,14,24.3,37.5
3,1996,13,62,42,25,28.9,44.1
4,1996,,80,56,37,40.3,55.5
5,1996,39,91,66,52,48.9,65.8
6,1996,51,87,70,63,60.3,75.9
7,1996,59,89,73,68,64.3,79.4
8,1996,59,90,,64,64,77.8
9,1996,47,85,70,60,58.1,70.2
10,1996,36,73,56,52,45.8,60.6
11,1996,20,73,59,28,33.8,46.7
12,1996,5,61,47,,33,45.5
1,1997,0,55,39,17,21.7,36.7
2,1997,15,66,47,29,29,
3,1997,17,63,44,28,29.7,43.7
4,1997,26,75,47,34,38.9,53.7
5,1997,43,76,57,49,48,64.2
6,1997,47,94,71,58,59.6,76.7
7,1997,56,95,75,67,64.8,82.5
8,1997,58,94,75,64,63.5,78.8
9,1997,44,84,66,60,56.5,71.9
10,1997,32,84,57,47,45.1,60.5
11,1997,22,66,56,33,35.9,47.4
12,1997,13,53,38,33,28.6,41.7
1,1998,7,60,40,28,28.1,39.7
2,1998,7,53,38,27,29.5,41
3,1998,10,89,60,28,34.3,48.7
4,1998,34,78,56,42,42.1,56.7
5,1998,41,89,67,49,51.9,68.7
6,1998,48,88,69,62,57.3,72
7,1998,60,93,73,71,66.1,82.6
8,1998,57,92,74,69,64.7,80.2
9,1998,46,88,65,62,58.1,74.4
10,1998,38,77,55,52,47.3,61.6
11,1998,31,63,47,44,38.4,50.8
12,1998,11,76,49,23,31.9,46.3
1,1999,2,62,36,15,21.5,37.5
2,1999,8,58,37,25,26.4,40.8
3,1999,13,72,45,30,31.5,47.2
4,1999,32,76,47,47,41.1,57.3
5,1999,43,87,62,51,50.7,65.6
6,1999,51,97,75,63,62,79.9
7,1999,55,98,81,68,67.2,84.2
8,1999,55,94,73,66,63.7,78.9
9,1999,50,87,72,62,59.9,74.2
10,1999,35,75,56,50,44.6,61.4
11,1999,27,72,52,38,40.4,55.6
12,1999,12,59,50,25,30.7,43.9
1,2000,0,64,43,14,19.3,35.7
2,2000,13,61,43,28,26.9,41.4
3,2000,16,72,46,32,35.5,51.1
4,2000,34,75,47,41,40.2,54.4
5,2000,42,91,56,50,48.5,65.9
6,2000,46,92,69,54,59.2,75.4
7,2000,55,87,68,65,62.8,77.1
8,2000,56,89,75,66,63.4,77.1
9,2000,38,87,73,53,55.4,71.6
10,2000,33,80,55,40,46,61.7
11,2000,17,66,47,30,38.4,49.2
12,2000,8,64,39,22,22.5,35.9
1,2001,12,44,32,27,23.7,36.2
2,2001,10,54,36,23,24.3,39.2
3,2001,17,51,37,28,29.9,40.6
4,2001,32,85,54,36,40.7,56.7
5,2001,38,92,72,52,51.1,68
6,2001,50,92,73,63,62.4,79.7
7,2001,56,95,78,69,61.9,77.9
8,2001,58,97,79,67,66.7,81.1
9,2001,48,87,67,57,57.2,73.3
10,2001,34,83,62,48,47.4,65
11,2001,29,73,54,43,40.5,56.1
