meanTemp,TotPrecip,TotSnow,Max24hrPrecip,Max24hrSnow
21,2.72,24.8,0.74,6.7
27.6,4.11,32.5,1.01,12.2
39.3,3.72,11,1.15,6
45.1,5.68,2,1.19,2
54.6,5.26,0,3.23,0
65.8,5.78,0,2.46,0
72.4,1.56,0,0.76,0
72,2.32,0,1,0
65.3,1.9,0,0.94,0
59.8,1.64,0,0.89,0
41.7,5.46,1.8,1.89,1.2
35.6,3.89,5.5,1.01,5
33.7,1.8,1.6,1.04,0.9
32.5,2.64,23.2,1.33,16.5
46.2,1.92,0,0.47,0
51.7,4.62,0,1.44,0
58,3.63,0,1.82,0
68.2,3.58,0,2.04,0
73.2,11.69,0,6.04,0
69.6,1.63,0,1.12,0
68.5,1.22,0,0.36,0
55.2,1.24,0,0.53,0
41.5,6.19,5.7,1.51,4.1
31.3,2.38,4.4,0.52,1.3
27.2,1.41,2.7,1.08,2.5
32,2.64,15.5,0.61,6.4
39.8,4.3,10.1,1.36,4.2
48.7,2.48,3.3,1.38,2.4
61.4,5.34,0,2.06,0
68.7,8.05,0,3.32,0
72,2.63,0,0.86,0
70.4,4.75,0,1.23,0
65.2,3.65,0,1.52,0
55.1,1.97,0,0.99,0
43.8,0.84,0.9,0.41,0.5
30.9,3.01,14.7,0.92,5.6
26.9,6.07,25.3,1.42,5.4
23.6,1.48,14.4,0.54,4.3
33.8,2.49,10.6,0.65,8.4
48.1,5.26,0,1.52,0
57.6,0.83,0,0.37,0
69.3,2.03,0,1.02,0
69.9,3.36,0,0.78,0
69.3,2.07,0,0.78,0
64.4,0.38,0,0.27,0
55.6,3.37,0,1.58,0
44.7,2.59,0,1.48,0
40.4,4.99,3,1.4,1.4
31.9,3.27,8.5,1.08,4
26.8,2.61,10.4,1.52,6.5
37.9,2.04,7.4,0.88,5
47.3,3.79,3,1.2,3
56.2,2.81,0,1.05,0
66.7,1.07,0,0.36,0
73.8,2.04,0,0.7,0
71.9,6.86,0,4.15,0
62.2,6.96,0,3.89,0
54.6,0.06,0,0.04,0
44.6,1.93,0.5,0.74,0.5
31.1,1.48,0.2,0.37,0.2
27.1,3.97,20.7,0.74,7.4
38.1,1.55,0,0.61,0
43.1,5.21,0,1.11,0
49.7,2.48,0,1.06,0
57.4,2.57,0,0.87,0
70.9,4.59,0,1.36,0
72.3,3.54,0,1.19,0
71.1,1.4,0,0.47,0
64.1,3.45,0,1.46,0
49.5,4.03,0,0.89,0
43.6,4.16,0,1.15,0
33.6,5.2,0.5,1.65,0.5
31,2.53,7.4,0.75,4.2
27.9,5.56,27.3,1.75,12.8
34.3,2.91,2.8,0.86,1.2
44.8,1.73,0,0.53,0
56,3.31,0,1.55,0
64.3,1.33,0,0.42,0
70.4,6.06,0,2.33,0
70.4,3.91,0,1.54,0
62.4,1.08,0,0.42,0
53.4,3.58,0,1.25,0
44.2,4.07,0,1.71,0
28.6,3.96,24.2,1.69,8.3
30.7,2.67,16.1,0.92,9.2
32.6,3.28,0,0.85,0
41.6,0.59,0,0.28,0
48.3,1.26,0.2,0.46,0.2
55.2,2.5,0,0.6,0
65.1,2.43,0,0.47,0
72.2,4.77,0,0.98,0
67.5,6.73,0,1.88,0
65,2.44,0,1.25,0
57.9,3.77,0,1.74,0
49.6,4.71,0.5,1.71,0.5
35.9,5.22,0,1.21,0
32.9,1.66,5.1,0.69,3.7
29.6,2.66,8.7,0.97,7
